testName,thisNode,thisID,thatID,timeDelta,message
complete,node3,0,0,3.008000,message received 10
complete,node3,0,0,3.013000,message received 11
complete,node3,0,1,3.018000,message received 0
complete,node3,0,1,3.023000,message received 1
complete,node3,0,1,3.034000,message received 2
complete,node3,0,1,3.038000,message received 3
complete,node3,0,1,3.043000,message received 4
complete,node3,0,1,3.048000,message received 5
complete,node3,0,1,3.052000,message received 6
complete,node3,0,1,3.057000,message received 7
complete,node3,0,1,3.061000,message received 8
complete,node3,0,1,3.066000,message received 9
complete,node3,0,1,3.070000,message received 10
complete,node3,0,1,3.075000,message received 11
complete,node3,1,1,4.077000,message sent 0
complete,node3,1,1,4.087000,message sent 1
complete,node3,1,1,4.090000,message sent 2
complete,node3,1,1,4.092000,message sent 3
complete,node3,1,1,4.095000,message sent 4
complete,node3,1,1,4.097000,message sent 5
complete,node3,1,1,4.099000,message sent 6
complete,node3,1,1,4.101000,message sent 7
complete,node3,1,1,4.103000,message sent 8
complete,node3,1,1,4.105000,message sent 9
complete,node3,1,1,4.108000,message sent 10
complete,node3,1,1,4.110000,message sent 11
complete,node4,3,1,4.196000,message received 0
complete,node4,3,1,4.204000,message received 1
complete,node3,1,2,4.186000,message sent 0
complete,node3,1,2,4.192000,message sent 1
complete,node3,1,2,4.194000,message sent 2
complete,node3,1,2,4.196000,message sent 3
complete,node3,1,2,4.198000,message sent 4
complete,node3,1,2,4.200000,message sent 5
complete,node4,3,1,4.208000,message received 2
complete,node4,3,1,4.211000,message received 3
complete,node4,3,1,4.216000,message received 4
complete,node4,3,1,4.219000,message received 5
complete,node3,2,1,4.158000,message received 0
complete,node3,2,1,4.171000,message received 1
complete,node4,3,1,4.223000,message received 6
complete,node4,3,1,4.226000,message received 7
complete,node4,3,1,4.230000,message received 8
complete,node3,1,2,4.203000,message sent 6
complete,node3,1,2,4.205000,message sent 7
complete,node3,1,2,4.207000,message sent 8
complete,node3,1,2,4.209000,message sent 9
complete,node3,1,2,4.211000,message sent 10
complete,node3,1,2,4.213000,message sent 11
complete,node3,1,3,4.216000,message sent 0
complete,node3,1,3,4.218000,message sent 1
complete,node3,1,3,4.220000,message sent 2
complete,node3,1,3,4.223000,message sent 3
complete,node4,4,1,4.232000,message received 0
complete,node4,4,1,4.235000,message received 1
complete,node4,4,1,4.237000,message received 2
complete,node4,4,1,4.241000,message received 3
complete,node4,4,1,4.243000,message received 4
complete,node4,4,1,4.246000,message received 5
complete,node3,2,1,4.177000,message received 2
complete,node3,2,1,4.183000,message received 3
complete,node3,2,1,4.188000,message received 4
complete,node3,2,1,4.193000,message received 5
complete,node3,2,1,4.198000,message received 6
complete,node4,3,1,4.236000,message received 9
complete,node4,3,1,4.240000,message received 10
complete,node4,3,1,4.243000,message received 11
complete,node3,1,3,4.226000,message sent 4
complete,node3,1,3,4.228000,message sent 5
complete,node3,1,3,4.231000,message sent 6
complete,node3,1,3,4.233000,message sent 7
complete,node3,1,3,4.235000,message sent 8
complete,node3,1,3,4.237000,message sent 9
complete,node3,1,3,4.239000,message sent 10
complete,node3,1,3,4.242000,message sent 11
complete,node4,4,1,4.248000,message received 6
complete,node4,4,1,4.252000,message received 7
complete,node4,4,1,4.254000,message received 8
complete,node4,4,1,4.257000,message received 9
complete,node4,4,1,4.259000,message received 10
complete,node4,4,1,4.261000,message received 11
complete,node3,2,1,4.203000,message received 7
complete,node3,2,1,4.208000,message received 8
complete,node3,2,1,4.213000,message received 9
complete,node4,5,1,4.254000,message received 0
complete,node4,5,1,4.259000,message received 1
complete,node4,5,1,4.266000,message received 2
complete,node4,5,1,4.271000,message received 3
complete,node4,5,1,4.275000,message received 4
complete,node4,5,1,4.278000,message received 5
complete,node3,1,4,4.245000,message sent 0
complete,node3,1,4,4.247000,message sent 1
complete,node3,1,4,4.250000,message sent 2
complete,node3,1,4,4.252000,message sent 3
complete,node3,1,4,4.255000,message sent 4
complete,node3,1,4,4.257000,message sent 5
complete,node3,1,4,4.259000,message sent 6
complete,node4,5,1,4.281000,message received 6
complete,node4,5,1,4.285000,message received 7
complete,node4,5,1,4.289000,message received 8
complete,node4,5,1,4.293000,message received 9
complete,node3,2,1,4.218000,message received 10
complete,node3,2,1,4.224000,message received 11
complete,node4,5,1,4.297000,message received 10
complete,node4,5,1,4.300000,message received 11
complete,node3,0,2,4.224000,message received 0
complete,node3,0,2,4.234000,message received 1
complete,node3,1,4,4.262000,message sent 7
complete,node3,1,4,4.264000,message sent 8
complete,node3,1,4,4.267000,message sent 9
complete,node3,1,4,4.269000,message sent 10
complete,node3,1,4,4.271000,message sent 11
complete,node3,1,5,4.273000,message sent 0
complete,node3,1,5,4.276000,message sent 1
complete,node3,1,5,4.278000,message sent 2
complete,node3,1,5,4.280000,message sent 3
complete,node3,1,5,4.283000,message sent 4
complete,node3,2,0,4.234000,message sent 0
complete,node3,2,0,4.241000,message sent 1
complete,node3,2,0,4.247000,message sent 2
complete,node3,2,0,4.252000,message sent 3
complete,node3,2,0,4.257000,message sent 4
complete,node3,0,2,4.241000,message received 2
complete,node3,0,2,4.246000,message received 3
complete,node3,0,2,4.251000,message received 4
complete,node3,0,2,4.256000,message received 5
complete,node3,1,5,4.285000,message sent 5
complete,node3,1,5,4.288000,message sent 6
complete,node3,1,5,4.290000,message sent 7
complete,node3,1,5,4.293000,message sent 8
complete,node3,1,5,4.295000,message sent 9
complete,node3,1,5,4.297000,message sent 10
complete,node3,1,5,4.300000,message sent 11
complete,node3,1,1,4.302000,message received 0
complete,node3,1,1,4.306000,message received 1
complete,node3,1,1,4.309000,message received 2
complete,node3,1,1,4.311000,message received 3
complete,node3,1,1,4.312000,message received 4
complete,node3,1,1,4.314000,message received 5
complete,node3,1,1,4.316000,message received 6
complete,node3,1,1,4.318000,message received 7
complete,node3,2,0,4.261000,message sent 5
complete,node3,2,0,4.291000,message sent 6
complete,node3,0,2,4.279000,message received 6
complete,node3,0,2,4.285000,message received 7
complete,node3,1,1,4.321000,message received 8
complete,node3,1,1,4.323000,message received 9
complete,node3,1,1,4.325000,message received 10
complete,node3,1,1,4.327000,message received 11
complete,node3,2,0,4.296000,message sent 7
complete,node3,2,0,4.309000,message sent 8
complete,node3,2,0,4.315000,message sent 9
complete,node3,0,2,4.298000,message received 8
complete,node3,0,2,4.304000,message received 9
complete,node3,0,2,4.310000,message received 10
complete,node3,0,2,4.315000,message received 11
complete,node3,2,0,4.321000,message sent 10
complete,node3,2,0,4.326000,message sent 11
complete,node3,2,1,4.332000,message sent 0
complete,node3,1,2,4.360000,message received 0
complete,node3,1,2,4.366000,message received 1
complete,node3,1,2,4.371000,message received 2
complete,node3,1,2,4.375000,message received 3
complete,node3,1,2,4.380000,message received 4
complete,node3,2,1,4.337000,message sent 1
complete,node3,2,1,4.342000,message sent 2
complete,node3,2,1,4.347000,message sent 3
complete,node3,2,1,4.352000,message sent 4
complete,node3,2,1,4.357000,message sent 5
complete,node3,1,2,4.385000,message received 5
complete,node3,1,2,4.392000,message received 6
complete,node3,1,2,4.396000,message received 7
complete,node3,2,1,4.363000,message sent 6
complete,node3,2,1,4.368000,message sent 7
complete,node3,1,2,4.401000,message received 8
complete,node3,1,2,4.408000,message received 9
complete,node3,1,2,4.413000,message received 10
complete,node3,1,2,4.418000,message received 11
complete,node3,2,1,4.373000,message sent 8
complete,node3,2,1,4.379000,message sent 9
complete,node3,2,1,4.384000,message sent 10
complete,node3,2,1,4.390000,message sent 11
complete,node3,2,2,6.821000,message sent 0
complete,node3,2,2,6.833000,message sent 1
complete,node3,2,2,6.839000,message sent 2
complete,node3,2,2,6.844000,message sent 3
