testName,thisNode,thisID,thatID,timeDelta,message
ring,node3,2,3,17.837000,message sent 6
ring,node4,3,2,18.474001,message received 0
ring,node3,2,3,17.841999,message sent 7
ring,node3,2,3,17.848000,message sent 8
ring,node4,3,2,18.480000,message received 1
ring,node4,3,2,18.486000,message received 2
ring,node3,2,3,17.857000,message sent 9
ring,node4,3,2,18.490999,message received 3
ring,node4,3,2,18.496000,message received 4
ring,node4,3,2,18.502001,message received 5
ring,node3,0,5,17.947001,message sent 0
ring,node4,3,2,18.507000,message received 6
ring,node4,3,2,18.513000,message received 7
ring,node3,0,5,17.955000,message sent 1
ring,node3,0,5,17.961000,message sent 2
ring,node4,3,2,18.518000,message received 8
ring,node4,3,2,18.524000,message received 9
ring,node3,0,5,17.966000,message sent 3
ring,node3,0,5,17.972000,message sent 4
ring,node3,0,5,17.976000,message sent 5
ring,node4,3,4,18.528999,message sent 0
